Date,WT GL,WT LIQ,WT Oil,WT THP,WT WCT,Z1 BHP*10,Z2 BHP*10,Z3 BHP*10,Z4 BHP*10,Z6 BHP*10,Z5 BHP*10,Z7 BHP*10,Forecast IB-25,Forecast Last RoFo,WI Rate,WI BHP,WI THP,WI IB25,Z1 BHP*10,Z2 BHP*10,Z3 BHP*10
,,,,,,,,,,,,,,3951.3303790777595,,,,,,,
2014-01-21 00:00:00,,,,,,,,11080,,,,,,,,11080,170,,,,11080
2014-01-22 00:00:00,,,,,,,,,,,,,,,,11010,160,,,,
2014-01-23 00:00:00,,,,,,,,,,,,,,,,11090,130,,,,
2014-01-24 00:00:00,,,,,,,,,,,,,,,,11090,130,,,,
2014-01-25 00:00:00,,,,,,,,,,,,,,,,11090,130,,,,
2014-01-26 00:00:00,,,,,,,,,,,,,,,,11090,130,,,,
2014-01-27 00:00:00,,,,,,,,,,,,,,,,11090,130,,,,
2014-01-28 00:00:00,,,,,,,,,,,,,,,,11090,130,,,,
2014-01-29 00:00:00,,,,,,,,,,,,,,,,11090,130,,,,
2014-01-30 00:00:00,,,,,,,,,,,,,,,,11090,130,,,,
2014-01-31 00:00:00,,,,,,,,,,,,,,,,11090,130,,,,
2014-02-01 00:00:00,,,,,,,,11090,,,,,,,,11090,130,,,,11090
2014-02-02 00:00:00,,,,,,,,,,,,,,,,11090,130,,,,
2014-02-03 00:00:00,,,,,,,,,,,,,,,,11090,130,,,,
2014-02-04 00:00:00,,,,,,,,,,,,,,,,11090,130,,,,
2014-02-05 00:00:00,,,,,,,,,,,,,,,,11090,130,,,,
2014-02-06 00:00:00,,,,,,,,,,,,,,,,11090,130,,,,
2014-02-07 00:00:00,,,,,,,,,,,,,,,,11090,130,,,,
2014-02-08 00:00:00,,,,,,,,,,,,,,,,11090,130,,,,
2014-02-09 00:00:00,,,,,,,,,,,,,,,,11090,130,,,,
2014-02-10 00:00:00,,,,,,,,,,,,,,,,11090,130,,,,
2014-02-11 00:00:00,,,,,,,,11090,,,,,,,,11090,130,,,,11090
2014-02-12 00:00:00,,,,,,,,,,,,,,,,11090,130,,,,
2014-02-13 00:00:00,,,,,,,,,,,,,,,,11090,130,,,,
2014-02-14 00:00:00,,,,,,,,,,,,,,,,11090,130,,,,
2014-02-15 00:00:00,,,,,,,,,,,,,,,,11080,130,,,,
2014-02-16 00:00:00,,,,,,,,,,,,,,,,11080,130,,,,
2014-02-17 00:00:00,,,,,,,,,,,,,,,,11080,130,,,,
2014-02-18 00:00:00,,,,,,,,,,,,,,,,11080,130,,,,
2014-02-19 00:00:00,,,,,,,,,,,,,,,,11080,130,,,,
2014-02-20 00:00:00,,,,,,,,,,,,,,,,11080,130,,,,
2014-02-21 00:00:00,,,,,,,,11080,,,,,,,,11080,130,,,,11080
2014-02-22 00:00:00,,,,,,,,,,,,,,,,11080,130,,,,
2014-02-23 00:00:00,,,,,,,,,,,,,,,,11080,130,,,,
2014-02-24 00:00:00,,,,,,,,,,,,,,,,11080,130,,,,
2014-02-25 00:00:00,,,,,,,,,,,,,,,,11080,130,,,,
2014-02-26 00:00:00,,,,,,,,,,,,,,,,11050,130,,,,
2014-02-27 00:00:00,,,,,,,,,,,,,,,,11080,130,,,,
2014-02-28 00:00:00,,,,,,,,,,,,,,,,11070,130,,,,
2014-03-01 00:00:00,,,,,,,,11070,,,,,,,,11070,130,,,,11070
2014-03-02 00:00:00,,,,,,,,,,,,,,,,11070,130,,,,
2014-03-03 00:00:00,,,,,,,,,,,,,,,,11070,130,,,,
2014-03-04 00:00:00,,,,,,,,,,,,,,,,9870,130,,,,
2014-03-05 00:00:00,,,,,,,,,,,,,,,,14540,2470,,,,
2014-03-06 00:00:00,,,,,,,,,,,,,,,,13670,1810,,,,
2014-03-07 00:00:00,,,,,,,,,,,,,,,,10940,160,,,,
2014-03-08 00:00:00,,,,,,,,,,,,,,,,10920,10,,,,
2014-03-09 00:00:00,,,,,,,,,,,,,,,,10770,10,,,,
2014-03-10 00:00:00,,,,,,,,,,,,,,,,10690,990,,,,
2014-03-11 00:00:00,1.016928,5733.278496,3160.498704,238.88088,4487.4495348429,,,9420,,,,,,,,9500,2750,,,,9420
2014-03-12 00:00:00,1.0162218,5626.288998,3143.01306,241.63664,4413.701356049681,,,,,,,,,,,8900,2500,,,,
2014-03-13 00:00:00,1.63326405,7498.164927,4094.093718,113.4938,4541.314364661525,,,,,,,,,,,7610,1290,,,,
2014-03-14 00:00:00,,,,,,,,,,,,,,,,7870,1390,,,,
2014-03-15 00:00:00,1.6316750999999998,7142.728329,3583.7393460000003,95.43632,4984.003123136359,,,,,,,,,,,7210,1040,,,,
2014-03-16 00:00:00,1.6320282,6898.33815,3233.020098,94.56608,5313.334852974698,,,,,,,,,,,6990,1020,,,,
2014-03-17 00:00:00,1.6316751,6699.832062,3055.396146,93.5508,5439.5929364714275,,,,,,,,,,,6600,1010,,,,
2014-03-18 00:00:00,,,,,,,,,,,,,,,,6790,930,,,,
2014-03-19 00:00:00,,,,,,,,,,,,,,,,6710,910,,,,
2014-03-20 00:00:00,,,,,,,,,,,,,,,,6640,900,,,,
2014-03-21 00:00:00,,,,,,,,6640,,,,,,,,6630,940,,,,6640
2014-03-22 00:00:00,,,,,,,,,,,,,,,,6560,880,,,,
2014-03-23 00:00:00,,,,,,,,,,,,,,,,6520,870,,,,
2014-03-24 00:00:00,,,,,,,,,,,,,,,,8520,7700,,,,
2014-03-25 00:00:00,,,,,,,,,,,,,,,,8950,7890,,,,
2014-03-26 00:00:00,,,,,,,,,,,,,,,,9170,7940,,,,
2014-03-27 00:00:00,,,,,,,,,,,,,,,,9320,7970,,,,
2014-03-28 00:00:00,,,,,,,,,,,,,,,,8730,5520,,,,
2014-03-29 00:00:00,2.3594142,6576.803574,3150.183432,88.90952,5210.160381779406,,,,,,,,,,,7120,950,,,,
2014-03-30 00:00:00,2.3735382,6323.827818,3039.608748,88.32936,5193.403686058424,,,,,,,,,,,6990,970,,,,
2014-03-31 00:00:00,2.3318724,6102.741348,2807.892516,88.76448,5398.96522581576,,,,,,,,,,,6910,990,,,,
2014-04-01 00:00:00,,,,,,,,6580,,,,,,,,6630,920,,,,6580
2014-04-02 00:00:00,2.3844843,5773.784808,2419.308672,89.1996,5809.839208680116,,,,,,,,,,,6460,970,,,,
2014-04-03 00:00:00,2.3731851,5693.275368,2379.682932,88.4744,5820.186486367052,,,,,,,,,,,6410,960,,,,
2014-04-04 00:00:00,2.3406999,5540.747718,2176.396596,88.18432,6072.016437547536,,,,,,,,,,,6360,960,,,,
2014-04-05 00:00:00,2.3428185,5471.937306,2059.343418,88.32936,6236.536892076739,,,,,,,,,,,6900,2910,,,,
2014-04-06 00:00:00,,,,,,,,,,,,,,,,8630,7940,,,,
2014-04-07 00:00:00,,,,,,,,,,,,,,,,8900,8180,,,,
2014-04-08 00:00:00,,,,,,,,,,,,,,,,9060,8320,,,,
